date,hors,u,v,ws,wd,wf6
2009-07-01 00:00:00,1,3.17,-3.2,4.51,135.19,0.066
2009-07-01 01:00:00,1,3.17,-3.2,4.51,135.19,0.066
2009-07-01 02:00:00,2,3.06,-3.06,4.33,135.04,0.026
2009-07-01 03:00:00,3,2.98,-2.95,4.19,134.75,0.013
2009-07-01 04:00:00,4,2.9,-2.85,4.07,134.45,0
2009-07-01 05:00:00,5,2.79,-2.75,3.92,134.63,0.013
2009-07-01 06:00:00,6,2.56,-2.65,3.69,136,0.079
2009-07-01 07:00:00,7,2.21,-2.55,3.38,139.06,0.013
2009-07-01 08:00:00,8,1.88,-2.42,3.07,142.21,0
2009-07-01 09:00:00,9,1.74,-2.24,2.84,142.21,0
2009-07-01 10:00:00,10,1.91,-2,2.76,136.34,0
2009-07-01 11:00:00,11,2.21,-1.71,2.79,127.74,0
2009-07-01 12:00:00,12,2.4,-1.41,2.78,120.39,0
2009-07-01 13:00:00,13,2.33,-1.12,2.58,115.81,0
2009-07-01 14:00:00,14,2.15,-0.87,2.32,112.14,0
2009-07-01 15:00:00,15,2.12,-0.67,2.23,107.55,0
2009-07-01 16:00:00,16,2.41,-0.53,2.47,102.42,0
2009-07-01 17:00:00,17,2.79,-0.46,2.82,99.47,0
2009-07-01 18:00:00,18,2.94,-0.49,2.98,99.42,0
2009-07-01 19:00:00,19,2.66,-0.61,2.73,102.9,0.013
2009-07-01 20:00:00,20,2.09,-0.81,2.24,111.21,0.013
2009-07-01 21:00:00,21,1.46,-1.07,1.81,126.16,0.026
2009-07-01 22:00:00,22,0.95,-1.34,1.65,144.55,0.013
2009-07-01 23:00:00,23,0.56,-1.56,1.66,160.28,0.013
2009-07-02 00:00:00,24,0.21,-1.64,1.66,172.87,0
2009-07-02 01:00:00,1,0.16,-1.39,1.4,173.43,0
2009-07-02 02:00:00,2,-0.25,-1.27,1.29,190.95,0
2009-07-02 03:00:00,3,-0.28,-1,1.04,195.78,0
2009-07-02 04:00:00,4,-0.09,-0.67,0.67,187.61,0
2009-07-02 05:00:00,5,0.15,-0.38,0.41,157.96,0
2009-07-02 06:00:00,6,0.25,-0.26,0.36,136.7,0
2009-07-02 07:00:00,7,0.06,-0.39,0.4,171.5,0
2009-07-02 08:00:00,8,-0.29,-0.62,0.69,205.1,0
2009-07-02 09:00:00,9,-0.62,-0.76,0.98,219.43,0
2009-07-02 10:00:00,10,-0.78,-0.67,1.03,229.32,0
2009-07-02 11:00:00,11,-0.7,-0.52,0.88,233.26,0
2009-07-02 12:00:00,12,-0.37,-0.57,0.68,213.14,0
2009-07-02 13:00:00,13,0.21,-0.97,0.99,167.8,0
2009-07-02 14:00:00,14,0.93,-1.58,1.83,149.68,0
2009-07-02 15:00:00,15,1.63,-2.18,2.72,143.26,0.013
2009-07-02 16:00:00,16,2.19,-2.59,3.39,139.71,0.039
2009-07-02 17:00:00,17,2.61,-2.82,3.84,137.29,0.053
2009-07-02 18:00:00,18,2.88,-2.96,4.14,135.78,0.039
2009-07-02 19:00:00,19,3.03,-3.06,4.3,135.33,0.053
2009-07-02 20:00:00,20,3.01,-3.13,4.34,136.12,0.092
2009-07-02 21:00:00,21,2.81,-3.17,4.24,138.49,0.079
2009-07-02 22:00:00,22,2.42,-3.18,4,142.73,0.053
2009-07-02 23:00:00,23,1.96,-3.08,3.65,147.57,0.053
2009-07-03 00:00:00,24,1.57,-2.8,3.21,150.77,0.026
2009-07-03 01:00:00,1,2.46,-1.79,3.04,125.96,0.013
2009-07-03 02:00:00,2,2.62,-1.47,3.01,119.35,0
2009-07-03 03:00:00,3,3.08,-1.8,3.57,120.37,0
2009-07-03 04:00:00,4,3.71,-2.54,4.49,124.45,0.013
2009-07-03 05:00:00,5,4.34,-3.37,5.5,127.83,0.039
2009-07-03 06:00:00,6,4.82,-3.95,6.23,129.36,0.447
2009-07-03 07:00:00,7,5.01,-4.06,6.45,128.99,0.526
2009-07-03 08:00:00,8,4.98,-3.88,6.32,127.93,0.382
2009-07-03 09:00:00,9,4.85,-3.75,6.13,127.7,0.342
2009-07-03 10:00:00,10,4.71,-3.89,6.11,129.56,0.316
2009-07-03 11:00:00,11,4.6,-4.23,6.25,132.64,0.158
2009-07-03 12:00:00,12,4.53,-4.62,6.47,135.6,0.145
2009-07-03 13:00:00,13,4.51,-4.93,6.68,137.53,0.158
2009-07-03 14:00:00,14,4.54,-5.11,6.83,138.4,0.132
2009-07-03 15:00:00,15,4.58,-5.15,6.89,138.34,0.184
2009-07-03 16:00:00,16,4.61,-5.04,6.83,137.56,0.329
2009-07-03 17:00:00,17,4.58,-4.88,6.69,136.82,0.329
2009-07-03 18:00:00,18,4.44,-4.79,6.53,137.14,0.25
2009-07-03 19:00:00,19,4.17,-4.84,6.38,139.26,0.237
2009-07-03 20:00:00,20,3.78,-4.93,6.21,142.49,0.237
2009-07-03 21:00:00,21,3.33,-4.91,5.93,145.84,0.237
2009-07-03 22:00:00,22,2.87,-4.7,5.51,148.59,0.211
2009-07-03 23:00:00,23,2.45,-4.42,5.05,150.99,0.211
2009-07-04 00:00:00,24,2.14,-4.25,4.75,153.32,0.079
2009-07-04 01:00:00,1,2.05,-3.62,4.16,150.47,0.092
2009-07-04 02:00:00,2,1.98,-3.42,3.95,149.86,0.079
2009-07-04 03:00:00,3,2.14,-3.39,4.01,147.72,0.066
2009-07-04 04:00:00,4,2.45,-3.48,4.26,144.86,0.053
2009-07-04 05:00:00,5,2.79,-3.58,4.53,142.07,0.382
2009-07-04 06:00:00,6,3.02,-3.55,4.66,139.6,0.368
2009-07-04 07:00:00,7,3.06,-3.32,4.52,137.34,0.184
2009-07-04 08:00:00,8,3.03,-3.05,4.3,135.17,0.092
2009-07-04 09:00:00,9,3.09,-2.93,4.26,133.45,0.105
2009-07-04 10:00:00,10,3.33,-3.07,4.53,132.67,0.105
2009-07-04 11:00:00,11,3.64,-3.34,4.94,132.58,0.079
2009-07-04 12:00:00,12,3.84,-3.53,5.22,132.64,0.092
2009-07-04 13:00:00,13,3.81,-3.48,5.16,132.45,0.079
2009-07-04 14:00:00,14,3.65,-3.24,4.88,131.63,0.039
2009-07-04 15:00:00,15,3.5,-2.9,4.55,129.64,0.053
2009-07-04 16:00:00,16,3.49,-2.54,4.32,126.1,0.066
2009-07-04 17:00:00,17,3.51,-2.12,4.1,121.15,0.066
2009-07-04 18:00:00,18,3.42,-1.56,3.76,114.5,0.053
